year,p,p2,pc,pg,pi
1999,100.00,100.00,103.23,131.70,82.46
2000,100.00,100.00,103.77,136.07,80.75
2001,100.00,100.00,103.08,137.02,80.58
2002,100.00,100.00,103.08,138.20,79.36
2003,100.00,100.00,102.23,140.82,80.72
2004,100.00,100.00,102.53,144.46,80.15
2005,100.00,100.00,102.25,146.69,80.95
2006,100.00,100.00,102.25,147.87,80.96
2007,100.00,100.00,101.96,147.34,80.85
2008,100.00,100.00,101.50,149.58,79.43
2009,100.00,100.00,100.68,144.54,78.44
2010,100.00,100.00,101.49,147.18,76.52
